station,total_borrow_demand
捷運公館站(2號出口),48786.0
捷運公館站(3號出口),31366.0
捷運科技大樓站,26694.0
捷運中山國中站,23716.0
捷運芝山站(2號出口)_1,23636.0
臺大第一活動中心西南側,21039.0
捷運信義安和站(4號出口),20119.0
捷運永春站(2號出口),20105.0
捷運六張犁站,19398.0
捷運圓山站(1號出口),18047.0
松山車站,17636.0
臺灣師範大學(圖書館),17378.0
捷運東門站(5號出口),17167.0
臺灣科技大學側門,17129.0
臺灣科技大學後門,16980.0
捷運龍山寺站(1號出口),16909.0
捷運台北101/世貿站(2號出口),15888.0
臺大小福樓東側,15646.0
捷運南京三民站(1號出口),15625.0
捷運行天宮站(3號出口),15483.0
