station,total_borrow,peak_ratio,weekend_ratio,morning_net_flow_mean,evening_net_flow_mean,morning_net_flow_sum,evening_net_flow_sum,volatility,station_type,imbalance_score,risk_level,dispatch_strategy
松山工農,5186.0,0.5188970304666409,0.279791747011184,-4.1647058823529415,4.431192660550459,-354.0,483.0,8.91856465744657,潮汐流入型,837.0,High,高峰前提前清空車位
松山新城,2478.0,0.5004035512510089,0.321226795803067,3.180722891566265,-1.8571428571428572,264.0,-208.0,3.764893592493402,潮汐流出型,472.0,High,早高峰前提前補車
松山永吉路口,3621.0,0.43302954984810826,0.32532449599558133,1.8452380952380953,-2.232142857142857,155.0,-250.0,4.769381438521416,穩定休閒型,405.0,Medium,定時監控與小規模調度
松山路292巷口,5967.0,0.5129881012233953,0.3440589911178146,1.7738095238095237,-1.009009009009009,149.0,-112.0,8.828556462160629,通勤型,261.0,Medium,定時監控與小規模調度
松山車站,17636.0,0.5491041052392833,0.26684055341347246,0.2261904761904762,-0.5089285714285714,19.0,-57.0,25.96722994536342,通勤型,76.0,Low,常規運營監控
松山高中,6366.0,0.5301602262016966,0.31778196669808356,-5.285714285714286,3.7410714285714284,-444.0,419.0,9.879997232938635,潮汐流入型,863.0,High,高峰前提前清空車位
松德公園,5564.0,0.6193386053199137,0.20470884255930985,-9.238095238095237,8.330357142857142,-776.0,933.0,12.052046681644372,潮汐流入型,1709.0,High,高峰前提前清空車位
松德站,4824.0,0.5393864013266998,0.23569651741293532,-4.964285714285714,4.36036036036036,-417.0,484.0,8.154386633793388,潮汐流入型,901.0,High,高峰前提前清空車位
松德虎林街口,5815.0,0.49251934651762685,0.3124677558039553,5.7976190476190474,-4.919642857142857,487.0,-551.0,8.18148604228227,潮汐流出型,1038.0,High,早高峰前提前補車
松德路169巷口,5818.0,0.5297353042282571,0.26022688209006534,1.411764705882353,-3.3482142857142856,120.0,-375.0,8.660364810955285,通勤型,495.0,High,雙高峰動態調度
松德路200巷,5711.0,0.5270530555069165,0.24549115741551392,-2.4523809523809526,2.189189189189189,-206.0,243.0,8.7656597012196,潮汐流入型,449.0,Medium,定時監控與小規模調度
松智松壽路口,4556.0,0.44556628621597894,0.32857769973661105,-6.0602409638554215,3.6666666666666665,-503.0,407.0,8.426278209522904,潮汐流入型,910.0,High,高峰前提前清空車位
松柏街15巷口,0.0,0.0,0.0,-1.0,-1.3333333333333333,-2.0,-44.0,0.0,穩定休閒型,46.0,Low,常規運營監控
松江公園,3335.0,0.5076461769115442,0.2290854572713643,-1.3614457831325302,1.6636363636363636,-113.0,183.0,5.216582222510152,通勤型,296.0,Medium,定時監控與小規模調度
松江民生路口,3577.0,0.49510763209393344,0.1898238747553816,0.40476190476190477,0.44642857142857145,34.0,50.0,5.576006745054854,穩定休閒型,84.0,Low,常規運營監控
松江路132巷口,1430.0,0.46573426573426574,0.25104895104895103,-0.5625,0.6886792452830188,-45.0,73.0,2.4183721277742554,穩定休閒型,118.0,Low,常規運營監控
松江路431巷口,2612.0,0.5237366003062787,0.24310872894333843,-1.1666666666666667,0.07142857142857142,-98.0,8.0,3.77723703443659,通勤型,106.0,Low,常規運營監控
松江路77巷口,2138.0,0.4855004677268475,0.24275023386342376,-0.26582278481012656,0.6545454545454545,-21.0,72.0,3.252010976927622,穩定休閒型,93.0,Low,常規運營監控
松江長安路口,4686.0,0.4434485702091336,0.2667520273154076,-1.119047619047619,0.29464285714285715,-94.0,33.0,6.390943867433491,穩定休閒型,127.0,Medium,定時監控與小規模調度
松江長春路口,3156.0,0.4350443599493029,0.20754119138149557,-0.7023809523809523,0.3783783783783784,-59.0,42.0,4.767266902815756,穩定休閒型,101.0,Low,常規運營監控
松高路(信義新天地A4館),2874.0,0.4836464857341684,0.3291579679888657,-2.097560975609756,1.2477064220183487,-172.0,136.0,5.449315163312384,潮汐流入型,308.0,Medium,定時監控與小規模調度
板南立言街口,0.0,0.0,0.0,-1.6923076923076923,-1.0,-22.0,-6.0,0.0,穩定休閒型,28.0,Low,常規運營監控
板南路492號,0.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,0.0,穩定休閒型,3.0,Low,常規運營監控
板新中山路一段口,0.0,0.0,0.0,-1.0,-1.1,-5.0,-11.0,0.0,穩定休閒型,16.0,Low,常規運營監控
板林溪北路口,0.0,0.0,0.0,-1.0,-1.0,-1.0,-5.0,0.0,穩定休閒型,6.0,Low,常規運營監控
板樹體育館,0.0,0.0,0.0,,-1.0,0.0,-1.0,0.0,穩定休閒型,1.0,Low,常規運營監控
板橋435藝文特區,0.0,0.0,0.0,,-1.0,0.0,-4.0,0.0,穩定休閒型,4.0,Low,常規運營監控
板橋435藝文特區(環河西路),0.0,0.0,0.0,-1.0,-1.0833333333333333,-1.0,-13.0,0.0,穩定休閒型,14.0,Low,常規運營監控
板橋中山公園,0.0,0.0,0.0,,-1.2571428571428571,0.0,-44.0,0.0,穩定休閒型,44.0,Low,常規運營監控
板橋仁愛公園,0.0,0.0,0.0,,-1.0,0.0,-2.0,0.0,穩定休閒型,2.0,Low,常規運營監控
板橋信義公園,0.0,0.0,0.0,-1.0,-1.0,-2.0,-4.0,0.0,穩定休閒型,6.0,Low,常規運營監控
板橋公車站,0.0,0.0,0.0,,-1.0,0.0,-1.0,0.0,穩定休閒型,1.0,Low,常規運營監控
板橋和平公園,0.0,0.0,0.0,-1.0,-1.3333333333333333,-2.0,-4.0,0.0,穩定休閒型,6.0,Low,常規運營監控
板橋四維公園,0.0,0.0,0.0,,-1.5217391304347827,0.0,-35.0,0.0,穩定休閒型,35.0,Low,常規運營監控
板橋國中,0.0,0.0,0.0,-1.0,-1.25,-10.0,-20.0,0.0,穩定休閒型,30.0,Low,常規運營監控
板橋國小,0.0,0.0,0.0,-1.0,-1.5,-10.0,-3.0,0.0,穩定休閒型,13.0,Low,常規運營監控
板橋國民運動中心,0.0,0.0,0.0,,-1.1666666666666667,0.0,-7.0,0.0,穩定休閒型,7.0,Low,常規運營監控
