ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-10-01 00:00:00,7592.84290704,-1386.1454086888896,7609.146220035623,7592.84290704,7592.84290704,-4285.688511527832,-4285.688511527832,-4285.688511527832,-5171.191581158457,-5171.191581158457,-5171.191581158457,885.5030696306254,885.5030696306254,885.5030696306254,0.0,0.0,0.0,3307.154395512168
2024-10-01 01:00:00,7595.677478833951,-1996.1096485799267,6638.755378553566,7595.677478833951,7595.677478833951,-5366.754438388003,-5366.754438388003,-5366.754438388003,-6244.017420515503,-6244.017420515503,-6244.017420515503,877.2629821274985,877.2629821274985,877.2629821274985,0.0,0.0,0.0,2228.9230404459477
2024-10-01 02:00:00,7598.512050627901,-3348.1502637151693,5310.032885351356,7598.512050627901,7598.512050627901,-6851.068790767796,-6851.068790767796,-6851.068790767796,-7716.047500134625,-7716.047500134625,-7716.047500134625,864.9787093668307,864.9787093668307,864.9787093668307,0.0,0.0,0.0,747.4432598601052
2024-10-01 03:00:00,7601.346622421851,-4551.26270920632,4534.273910802372,7601.346622421851,7601.346622421851,-7774.971944513004,-7774.971944513004,-7774.971944513004,-8623.697390771486,-8623.697390771486,-8623.697390771486,848.7254462584817,848.7254462584817,848.7254462584817,0.0,0.0,0.0,-173.62532209115307
2024-10-01 04:00:00,7604.181194215801,-3537.692345017885,4847.121929359587,7604.181194215801,7604.181194215801,-7029.231066386131,-7029.231066386131,-7029.231066386131,-7857.823318649962,-7857.823318649962,-7857.823318649962,828.592252263832,828.592252263832,828.592252263832,0.0,0.0,0.0,574.9501278296702
2024-10-01 05:00:00,7607.015766009751,-1368.673880489503,7703.42925916162,7607.015766009751,7607.015766009751,-4380.693751649172,-4380.693751649172,-4380.693751649172,-5185.3743446171275,-5185.3743446171275,-5185.3743446171275,804.6805929679562,804.6805929679562,804.6805929679562,0.0,0.0,0.0,3226.3220143605795
2024-10-01 06:00:00,7609.8503378037,2570.142985933994,11542.085820512248,7609.8503378037,7609.8503378037,-781.2440596208314,-781.2440596208314,-781.2440596208314,-1558.3469864853416,-1558.3469864853416,-1558.3469864853416,777.1029268645102,777.1029268645102,777.1029268645102,0.0,0.0,0.0,6828.606278182869
2024-10-01 07:00:00,7612.68490959765,5436.839543198702,14393.574975028761,7612.68490959765,7612.68490959765,2285.1229142377865,2285.1229142377865,2285.1229142377865,1539.1415569192598,1539.1415569192598,1539.1415569192598,745.9813573185276,745.9813573185276,745.9813573185276,0.0,0.0,0.0,9897.807823835437
2024-10-01 08:00:00,7615.5194813916005,7059.688639967242,16017.377537120423,7615.5194813916005,7615.5194813916005,3818.5713071781393,3818.5713071781393,3818.5713071781393,3107.124939562641,3107.124939562641,3107.124939562641,711.4463676154977,711.4463676154977,711.4463676154977,0.0,0.0,0.0,11434.09078856974
2024-10-01 09:00:00,7618.3540531855515,7051.545515341718,15645.830622202639,7618.3540531855515,7618.3540531855515,3831.1170462300774,3831.1170462300774,3831.1170462300774,3157.481391350713,3157.481391350713,3157.481391350713,673.6356548793644,673.6356548793644,673.6356548793644,0.0,0.0,0.0,11449.471099415628
2024-10-01 10:00:00,7621.188624979502,6333.5440083616495,15260.493473065455,7621.188624979502,7621.188624979502,3058.5772795238627,3058.5772795238627,3058.5772795238627,2425.8842032241832,2425.8842032241832,2425.8842032241832,632.6930762996801,632.6930762996801,632.6930762996801,0.0,0.0,0.0,10679.765904503365
2024-10-01 11:00:00,7624.023196773452,5859.470421259667,14227.318259906171,7624.023196773452,7624.023196773452,2275.839115286978,2275.839115286978,2275.839115286978,1687.0713968645464,1687.0713968645464,1687.0713968645464,588.7677184224322,588.7677184224322,588.7677184224322,0.0,0.0,0.0,9899.86231206043
2024-10-01 12:00:00,7626.857768567402,4990.85804998472,14254.632612284531,7626.857768567402,7626.857768567402,1883.4135683134455,1883.4135683134455,1883.4135683134455,1341.400470617376,1341.400470617376,1341.400470617376,542.01309769607,542.01309769607,542.01309769607,0.0,0.0,0.0,9510.271336880847
2024-10-01 13:00:00,7629.692340361352,5263.488800294369,14186.279130996774,7629.692340361352,7629.692340361352,2010.2652418860932,2010.2652418860932,2010.2652418860932,1517.6787441774861,1517.6787441774861,1517.6787441774861,492.5864977086077,492.5864977086077,492.5864977086077,0.0,0.0,0.0,9639.957582247445
2024-10-01 14:00:00,7632.526912155302,5940.693754096421,14873.738558976953,7632.526912155302,7632.526912155302,2787.0474928902668,2787.0474928902668,2787.0474928902668,2346.3990472536784,2346.3990472536784,2346.3990472536784,440.64844563658914,440.64844563658914,440.64844563658914,0.0,0.0,0.0,10419.574405045569
2024-10-01 15:00:00,7635.361483949253,7365.524121213448,16487.81642238077,7635.361483949253,7635.361483949253,4318.300568373152,4318.300568373152,4318.300568373152,3931.938240659595,3931.938240659595,3931.938240659595,386.3623277135572,386.3623277135572,386.3623277135572,0.0,0.0,0.0,11953.662052322405
2024-10-01 16:00:00,7638.196055743203,9726.38996460398,18332.569092396825,7638.196055743203,7638.196055743203,6326.587642665964,6326.587642665964,6326.587642665964,5996.693501868455,5996.693501868455,5996.693501868455,329.8941407975085,329.8941407975085,329.8941407975085,0.0,0.0,0.0,13964.783698409166
2024-10-01 17:00:00,7641.030627537152,11181.697434212016,20131.120162032053,7641.030627537152,7641.030627537152,7938.155308728474,7938.155308728474,7938.155308728474,7666.742934462871,7666.742934462871,7666.742934462871,271.41237426560434,271.41237426560434,271.41237426560434,0.0,0.0,0.0,15579.185936265625
2024-10-01 18:00:00,7643.865199331102,11190.997704335317,19936.568645631327,7643.865199331102,7643.865199331102,8046.015174892508,8046.015174892508,8046.015174892508,7834.9271608560575,7834.9271608560575,7834.9271608560575,211.0880140364507,211.0880140364507,211.0880140364507,0.0,0.0,0.0,15689.88037422361
2024-10-01 19:00:00,7646.699771125052,9458.3357421195,18107.71155741497,7646.699771125052,7646.699771125052,6104.353315927545,6104.353315927545,6104.353315927545,5955.25865779729,5955.25865779729,5955.25865779729,149.09465813025423,149.09465813025423,149.09465813025423,0.0,0.0,0.0,13751.053087052598
2024-10-01 20:00:00,7649.5343429190025,5607.996026966049,15074.32058836844,7649.5343429190025,7649.5343429190025,2669.404718820887,2669.404718820887,2669.404718820887,2583.795988059426,2583.795988059426,2583.795988059426,85.6087307614618,85.6087307614618,85.6087307614618,0.0,0.0,0.0,10318.93906173989
2024-10-01 21:00:00,7652.368914712953,2297.3679572011356,10830.381238747497,7652.368914712953,7652.368914712953,-891.7015248368956,-891.7015248368956,-891.7015248368956,-912.5113050096958,-912.5113050096958,-912.5113050096958,20.809780172800036,20.809780172800036,20.809780172800036,0.0,0.0,0.0,6760.667389876057
2024-10-01 22:00:00,7655.203486506903,-176.18932481215612,8777.299032464638,7655.203486506903,7655.203486506903,-3377.935081148266,-3377.935081148266,-3377.935081148266,-3332.8159247594467,-3332.8159247594467,-3332.8159247594467,-45.119156388820116,-45.119156388820116,-45.119156388820116,0.0,0.0,0.0,4277.268405358636
2024-10-01 23:00:00,7658.038244503415,-1324.9381924713553,7682.568378546037,7658.038244503415,7658.038244503415,-4601.703600127283,-4601.703600127283,-4601.703600127283,-4489.712461402214,-4489.712461402214,-4489.712461402214,-111.99113872506993,-111.99113872506993,-111.99113872506993,0.0,0.0,0.0,3056.334644376132
2024-10-02 00:00:00,7660.873002499926,-2121.278181035209,6508.346077076096,7660.873002499926,7660.873002499926,-5350.806461101644,-5350.806461101644,-5350.806461101644,-5171.191581127816,-5171.191581127816,-5171.191581127816,-179.614879973828,-179.614879973828,-179.614879973828,0.0,0.0,0.0,2310.0665413982815
2024-10-02 01:00:00,7663.707760496438,-3461.86472629203,5503.359753058633,7663.707760496438,7663.707760496438,-6491.811713632715,-6491.811713632715,-6491.811713632715,-6244.01742046197,-6244.01742046197,-6244.01742046197,-247.79429317074374,-247.79429317074374,-247.79429317074374,0.0,0.0,0.0,1171.8960468637233
2024-10-02 02:00:00,7666.542518492948,-4605.386934336315,4155.633955751808,7666.542518492948,7666.542518492948,-8032.375548968097,-8032.375548968097,-8032.375548968097,-7716.047500176701,-7716.047500176701,-7716.047500176701,-316.3280487913966,-316.3280487913966,-316.3280487913966,0.0,0.0,0.0,-365.8330304751489
