臺大第一活動中心西南側,649,6475,5826
松仁路95巷口,722,5536,4814
大稻埕碼頭,1281,4524,3243
臺大小福樓東側,882,3742,2860
捷運公館站(2號出口),8151,10999,2848
臺灣科技大學後門,1602,4306,2704
光華商場,898,3561,2663
臺北南山廣場_1,560,3207,2647
敦化南路二段103巷口,464,3014,2550
臺大女九舍西南側,706,3206,2500
中華桂林路口,1487,3908,2421
臺大社會系館南側,188,2590,2402
臺大新體育館東南側,1555,3921,2366
捷運東門站(5號出口),2460,4642,2182
臺灣科技大學側門,1806,3924,2118
捷運中山站(2號出口),1140,3239,2099
劍潭基河路口,1969,4057,2088
瑞湖陽光街口,175,2262,2087
捷運龍山寺站(1號出口)_1,450,2464,2014
民生敦化路口,753,2671,1918
