0,49788
1,22754
2,14931
3,12281
4,14984
5,38133
6,128017
7,303272
8,370187
9,279075
10,235273
11,249065
12,323797
13,286198
14,248618
15,285490
16,388722
17,491940
18,463991
19,319404
20,259007
21,238221
22,150552
23,83927
